Date	Open	High	Low	Close 	Adj Close 	Volume
Oct 29, 2024	11.17	11.58	10.87	11.47	11.47	9,429,977
Oct 28, 2024	11.25	11.47	11.06	11.26	11.26	8,443,100
Oct 25, 2024	11.24	11.33	10.91	11.18	11.18	10,553,300
Oct 24, 2024	11.01	12.09	11.01	11.19	11.19	16,684,200
Oct 23, 2024	11.16	11.27	10.65	10.91	10.91	10,104,900
Oct 22, 2024	11.21	11.52	11.03	11.16	11.16	10,455,700
Oct 21, 2024	10.85	11.29	10.68	11.26	11.26	11,021,200
Oct 18, 2024	10.77	11.00	10.48	10.81	10.81	10,093,100
Oct 17, 2024	11.17	11.19	10.55	10.68	10.68	14,503,200
Oct 16, 2024	10.03	11.19	9.98	11.19	11.19	26,303,500
Oct 15, 2024	9.82	10.34	9.48	9.94	9.94	16,863,600
Oct 14, 2024	9.92	10.11	9.66	9.88	9.88	14,831,200
Oct 11, 2024	9.35	9.78	9.20	9.70	9.70	8,278,500
Oct 10, 2024	9.34	9.53	9.27	9.39	9.39	6,877,000
Oct 9, 2024	9.27	9.66	8.99	9.45	9.45	10,854,500
Oct 8, 2024	9.60	10.14	9.36	9.41	9.41	12,438,500
Oct 7, 2024	9.96	10.11	9.48	9.68	9.68	12,518,500
Oct 4, 2024	9.52	10.01	9.42	9.80	9.80	10,742,200
Oct 3, 2024	9.60	9.86	9.16	9.25	9.25	8,922,600
Oct 2, 2024	8.96	9.76	8.80	9.71	9.71	15,642,600
Oct 1, 2024	9.66	9.72	9.09	9.23	9.23	14,756,800
Sep 30, 2024	9.87	10.15	9.52	9.73	9.73	20,367,700
Sep 27, 2024	8.87	10.29	8.84	9.78	9.78	39,176,900
Sep 26, 2024	8.84	8.98	8.63	8.69	8.69	15,727,000
Sep 25, 2024	7.55	8.79	7.55	8.62	8.62	29,464,600
Sep 24, 2024	7.58	7.61	7.28	7.59	7.59	9,793,400
Sep 23, 2024	7.63	7.67	7.47	7.56	7.56	12,454,700
Sep 20, 2024	7.15	7.72	7.13	7.47	7.47	22,836,000
Sep 19, 2024	7.33	7.37	7.00	7.17	7.17	10,540,500
Sep 18, 2024	7.15	7.50	7.10	7.12	7.12	11,804,500
Sep 17, 2024	7.45	7.51	7.07	7.17	7.17	9,185,000
Sep 16, 2024	7.47	7.53	7.17	7.37	7.37	13,219,600
Sep 13, 2024	6.96	7.47	6.91	7.46	7.46	13,806,100
Sep 12, 2024	6.68	7.05	6.63	6.86	6.86	13,988,600
Sep 11, 2024	6.18	6.70	6.15	6.68	6.68	13,295,200
Sep 10, 2024	6.14	6.17	5.96	6.15	6.15	6,175,700
Sep 9, 2024	5.90	6.28	5.88	6.14	6.14	9,684,900
Sep 6, 2024	6.11	6.20	5.74	5.81	5.81	9,211,300
Sep 5, 2024	6.29	6.34	6.04	6.08	6.08	6,214,600
Sep 4, 2024	6.02	6.47	6.02	6.34	6.34	9,643,700
Sep 3, 2024	6.20	6.25	5.99	6.06	6.06	6,921,300
Aug 30, 2024	6.24	6.49	6.22	6.27	6.27	8,159,300
Aug 29, 2024	6.19	6.47	6.14	6.23	6.23	8,084,100
Aug 28, 2024	6.02	6.25	5.96	6.09	6.09	12,833,300
Aug 27, 2024	6.59	6.60	6.11	6.12	6.12	16,090,500
Aug 26, 2024	6.96	6.97	6.51	6.74	6.74	13,359,400
Aug 23, 2024	6.99	7.07	6.76	6.96	6.96	14,731,100
Aug 22, 2024	7.00	7.26	6.83	6.84	6.84	22,202,400
Aug 21, 2024	6.70	7.27	6.22	7.00	7.00	26,839,900
Aug 20, 2024	7.25	7.26	6.60	6.65	6.65	27,622,900
Aug 19, 2024	6.78	7.36	6.47	7.19	7.19	47,084,200
Aug 16, 2024	6.27	7.10	5.92	6.56	6.56	74,179,900
Aug 15, 2024	5.25	6.04	5.25	5.83	5.83	23,961,800
Aug 14, 2024	5.27	5.35	5.16	5.18	5.18	4,493,600
Aug 13, 2024	5.25	5.30	5.03	5.23	5.23	12,138,600
Aug 12, 2024	5.41	5.54	5.18	5.39	5.39	7,080,600
Aug 9, 2024	5.35	5.59	5.20	5.37	5.37	17,827,800
Aug 8, 2024	4.68	4.93	4.63	4.77	4.77	7,105,100
Aug 7, 2024	4.82	4.82	4.55	4.58	4.58	4,765,700
Aug 6, 2024	4.81	4.86	4.63	4.72	4.72	4,073,600
Aug 5, 2024	4.25	4.74	4.20	4.66	4.66	7,152,100
Aug 2, 2024	4.71	4.86	4.65	4.81	4.81	8,456,400
Aug 1, 2024	5.24	5.25	4.89	4.96	4.96	7,307,500
Jul 31, 2024	5.30	5.45	5.21	5.24	5.24	5,100,700
Jul 30, 2024	5.34	5.39	5.16	5.26	5.26	4,324,900
Jul 29, 2024	5.42	5.50	5.28	5.32	5.32	3,932,500
Jul 26, 2024	5.34	5.46	5.30	5.40	5.40	4,424,500
Jul 25, 2024	5.12	5.40	5.09	5.25	5.25	5,001,900
Jul 24, 2024	5.31	5.47	5.19	5.21	5.21	4,038,500
Jul 23, 2024	5.33	5.52	5.30	5.40	5.40	4,069,500
Jul 22, 2024	5.25	5.37	5.18	5.34	5.34	4,040,300
Jul 19, 2024	5.26	5.36	5.15	5.20	5.20	3,318,000
Jul 18, 2024	5.50	5.55	5.19	5.26	5.26	6,244,000
Jul 17, 2024	5.45	5.61	5.34	5.45	5.45	10,461,500
Jul 16, 2024	5.82	5.84	5.51	5.63	5.63	10,333,700
Jul 15, 2024	5.59	5.76	5.36	5.72	5.72	8,167,900
Jul 12, 2024	5.39	5.68	5.38	5.65	5.65	11,371,300
Jul 11, 2024	5.22	5.35	5.15	5.33	5.33	7,586,800
Jul 10, 2024	5.15	5.24	5.03	5.13	5.13	5,289,300
Jul 9, 2024	4.97	5.09	4.91	5.08	5.08	4,796,400
Jul 8, 2024	4.97	5.12	4.92	4.97	4.97	5,084,100
Jul 5, 2024	4.65	4.88	4.64	4.88	4.88	4,684,000
Jul 3, 2024	4.63	4.73	4.61	4.62	4.62	2,711,700
Jul 2, 2024	4.51	4.65	4.49	4.61	4.61	5,351,900
Jul 1, 2024	4.78	4.80	4.50	4.54	4.54	7,074,400
Jun 28, 2024	4.90	4.95	4.70	4.80	4.80	15,030,100
Jun 27, 2024	4.79	4.92	4.76	4.86	4.86	4,011,800
Jun 26, 2024	4.68	4.80	4.67	4.76	4.76	4,750,600
Jun 25, 2024	4.81	4.84	4.66	4.74	4.74	6,000,200
Jun 24, 2024	5.08	5.16	4.75	4.83	4.83	11,430,300
Jun 21, 2024	4.81	5.10	4.72	5.01	5.01	22,081,200
Jun 20, 2024	4.93	4.97	4.67	4.80	4.80	12,331,700
Jun 18, 2024	4.59	4.99	4.54	4.91	4.91	19,721,300
Jun 17, 2024	4.35	4.38	4.20	4.34	4.34	7,195,200
Jun 14, 2024	4.50	4.53	4.33	4.39	4.39	4,803,300
Jun 13, 2024	4.70	4.70	4.51	4.55	4.55	4,704,500
Jun 12, 2024	4.71	4.94	4.62	4.64	4.64	7,816,300
Jun 11, 2024	4.55	4.60	4.41	4.57	4.57	6,532,700
Jun 10, 2024	4.38	4.62	4.34	4.56	4.56	7,097,500
Jun 7, 2024	4.31	4.44	4.28	4.44	4.44	4,053,600
Jun 6, 2024	4.38	4.44	4.32	4.37	4.37	3,247,700
Jun 5, 2024	4.33	4.44	4.26	4.44	4.44	4,798,600
Jun 4, 2024	4.28	4.31	4.23	4.28	4.28	4,188,500
Jun 3, 2024	4.40	4.45	4.26	4.33	4.33	4,725,100
May 31, 2024	4.32	4.41	4.22	4.37	4.37	6,454,300
May 30, 2024	4.28	4.38	4.17	4.33	4.33	5,056,700
May 29, 2024	4.31	4.32	4.15	4.18	4.18	6,190,200
May 28, 2024	4.25	4.47	4.24	4.39	4.39	7,648,400
May 24, 2024	4.25	4.27	4.18	4.21	4.21	5,147,100
May 23, 2024	4.36	4.38	4.18	4.22	4.22	5,007,300
May 22, 2024	4.47	4.49	4.28	4.34	4.34	4,592,600
May 21, 2024	4.38	4.53	4.35	4.46	4.46	5,936,300
May 20, 2024	4.29	4.43	4.24	4.40	4.40	5,456,600
May 17, 2024	4.24	4.30	4.18	4.25	4.25	4,909,700
May 16, 2024	4.34	4.45	4.22	4.24	4.24	5,501,700
May 15, 2024	4.60	4.64	4.32	4.34	4.34	11,808,200
May 14, 2024	4.24	4.58	4.24	4.56	4.56	20,583,400
May 13, 2024	4.16	4.46	4.15	4.16	4.16	10,483,200
May 10, 2024	4.10	4.20	3.97	4.11	4.11	9,940,200
May 9, 2024	4.13	4.30	4.11	4.26	4.26	7,792,400
May 8, 2024	3.88	4.12	3.82	4.10	4.10	9,529,400
May 7, 2024	3.90	3.99	3.65	3.97	3.97	17,275,500
May 6, 2024	4.06	4.12	4.03	4.06	4.06	8,227,100
May 3, 2024	4.00	4.08	3.96	4.00	4.00	5,417,200
May 2, 2024	3.90	3.95	3.81	3.95	3.95	6,283,300
May 1, 2024	3.76	3.98	3.72	3.85	3.85	9,613,300
Apr 30, 2024	3.82	3.84	3.71	3.76	3.76	7,577,600
Apr 29, 2024	3.81	3.83	3.73	3.80	3.80	3,869,200
Apr 26, 2024	3.67	3.78	3.65	3.77	3.77	5,016,500
Apr 25, 2024	3.66	3.68	3.56	3.65	3.65	5,236,200
Apr 24, 2024	3.73	3.78	3.62	3.69	3.69	6,095,200
Apr 23, 2024	3.58	3.78	3.58	3.68	3.68	5,609,700
Apr 22, 2024	3.58	3.61	3.49	3.59	3.59	5,642,300
Apr 19, 2024	3.53	3.62	3.51	3.55	3.55	5,658,900
Apr 18, 2024	3.58	3.64	3.48	3.55	3.55	5,011,500
Apr 17, 2024	3.58	3.66	3.54	3.57	3.57	4,283,900
Apr 16, 2024	3.51	3.65	3.47	3.56	3.56	7,231,000
Apr 15, 2024	3.76	3.79	3.51	3.53	3.53	15,973,800
Apr 12, 2024	3.85	3.87	3.70	3.73	3.73	8,788,500
Apr 11, 2024	3.83	3.95	3.78	3.86	3.86	7,521,100
Apr 10, 2024	3.74	3.78	3.66	3.74	3.74	7,771,400
Apr 9, 2024	3.84	3.92	3.78	3.84	3.84	5,242,400
Apr 8, 2024	3.81	3.84	3.73	3.77	3.77	6,365,100
Apr 5, 2024	3.91	3.92	3.78	3.80	3.80	9,050,300
Apr 4, 2024	3.93	4.04	3.86	3.90	3.90	6,599,800
Apr 3, 2024	3.90	3.95	3.80	3.88	3.88	7,968,900
Apr 2, 2024	4.03	4.03	3.83	3.87	3.87	12,248,300
Apr 1, 2024	4.13	4.14	4.03	4.08	4.08	5,843,500
Mar 28, 2024	4.13	4.23	4.09	4.11	4.11	6,250,800
Mar 27, 2024	4.10	4.15	4.05	4.14	4.14	4,884,000
Mar 26, 2024	4.10	4.18	4.05	4.06	4.06	8,577,200
Mar 25, 2024	4.07	4.20	4.06	4.08	4.08	4,500,100
Mar 22, 2024	4.06	4.12	4.00	4.05	4.05	8,710,500
Mar 21, 2024	4.11	4.28	4.05	4.09	4.09	8,974,100
Mar 20, 2024	4.01	4.10	3.95	4.03	4.03	10,242,800
Mar 19, 2024	4.00	4.10	3.98	4.06	4.06	6,529,400
Mar 18, 2024	4.16	4.16	3.97	4.00	4.00	12,878,000
Mar 15, 2024	4.14	4.27	4.11	4.12	4.12	14,480,900
Mar 14, 2024	4.28	4.30	4.11	4.17	4.17	7,492,900
Mar 13, 2024	4.34	4.45	4.28	4.29	4.29	7,220,000
Mar 12, 2024	4.34	4.38	4.23	4.34	4.34	8,475,600
Mar 11, 2024	4.44	4.72	4.44	4.48	4.48	7,305,400
Mar 8, 2024	4.47	4.53	4.34	4.42	4.42	4,878,600
Mar 7, 2024	4.34	4.44	4.29	4.43	4.43	4,794,900
Mar 6, 2024	4.30	4.47	4.26	4.30	4.30	5,275,300
Mar 5, 2024	4.39	4.39	4.17	4.24	4.24	8,795,500
Mar 4, 2024	4.62	4.70	4.39	4.43	4.43	6,287,100
Mar 1, 2024	4.63	4.67	4.50	4.54	4.54	5,093,100
Feb 29, 2024	4.69	4.81	4.49	4.59	4.59	11,037,500
Feb 28, 2024	4.42	4.77	4.11	4.59	4.59	11,858,800
Feb 27, 2024	4.60	4.80	4.57	4.71	4.71	11,001,900
Feb 26, 2024	4.39	4.60	4.35	4.57	4.57	7,252,700
Feb 23, 2024	4.46	4.53	4.36	4.38	4.38	6,560,100
Feb 22, 2024	4.71	4.75	4.43	4.44	4.44	8,943,700
Feb 21, 2024	4.79	4.80	4.62	4.64	4.64	5,457,600
Feb 20, 2024	4.92	5.10	4.79	4.83	4.83	7,477,600
Feb 16, 2024	4.90	5.08	4.84	4.89	4.89	7,277,000
Feb 15, 2024	4.88	5.03	4.80	4.89	4.89	8,775,600
Feb 14, 2024	4.57	4.82	4.39	4.80	4.80	10,111,800
Feb 13, 2024	4.58	4.65	4.38	4.44	4.44	8,760,400
Feb 12, 2024	4.43	4.79	4.43	4.72	4.72	15,404,900
Feb 9, 2024	4.39	4.42	4.24	4.34	4.34	6,984,700
Feb 8, 2024	4.28	4.36	4.23	4.30	4.30	6,020,100
Feb 7, 2024	4.29	4.47	4.19	4.27	4.27	8,081,300
Feb 6, 2024	4.04	4.26	4.03	4.26	4.26	10,817,100
Feb 5, 2024	3.98	4.11	3.95	4.07	4.07	11,193,100
Feb 2, 2024	4.01	4.02	3.92	3.97	3.97	47,841,700
Feb 1, 2024	4.19	4.29	3.89	4.02	4.02	61,537,000
Jan 31, 2024	4.97	5.16	4.85	4.85	4.85	5,797,100
Jan 30, 2024	5.08	5.11	4.92	4.98	4.98	3,265,800
Jan 29, 2024	4.88	5.14	4.88	5.14	5.14	3,040,100
Jan 26, 2024	4.94	5.02	4.85	4.88	4.88	2,506,200
Jan 25, 2024	5.11	5.11	4.83	4.92	4.92	4,034,900
Jan 24, 2024	5.17	5.24	4.97	5.03	5.03	3,416,000
Jan 23, 2024	5.10	5.22	5.03	5.08	5.08	3,484,600
Jan 22, 2024	4.90	5.07	4.85	5.05	5.05	5,269,800
Jan 19, 2024	4.90	4.90	4.69	4.86	4.86	4,331,100
Jan 18, 2024	5.00	5.05	4.77	4.85	4.85	4,912,900
Jan 17, 2024	4.90	5.01	4.86	4.92	4.92	4,845,600
Jan 16, 2024	5.11	5.16	4.88	4.94	4.94	6,317,900
Jan 12, 2024	5.19	5.35	5.11	5.17	5.17	4,359,500
Jan 11, 2024	5.30	5.32	5.06	5.16	5.16	6,273,200
Jan 10, 2024	5.45	5.48	5.27	5.34	5.34	5,999,200
Jan 9, 2024	5.66	5.67	5.40	5.45	5.45	6,822,500
Jan 8, 2024	5.42	5.65	5.32	5.55	5.55	6,530,800
Jan 5, 2024	5.45	5.61	5.36	5.40	5.40	5,839,900
Jan 4, 2024	5.12	5.55	5.10	5.47	5.47	7,896,200
Jan 3, 2024	5.17	5.21	5.05	5.10	5.10	6,560,000
Jan 2, 2024	5.45	5.57	5.27	5.31	5.31	6,728,300
Dec 29, 2023	5.78	5.78	5.44	5.53	5.53	9,204,600
Dec 28, 2023	5.71	6.14	5.65	5.79	5.79	11,186,700
Dec 27, 2023	5.65	5.81	5.55	5.74	5.74	8,655,100
Dec 26, 2023	5.64	5.83	5.38	5.64	5.64	18,716,500
Dec 22, 2023	5.09	5.76	4.94	5.44	5.44	51,774,400
Dec 21, 2023	4.49	4.54	4.34	4.43	4.43	8,652,400
Dec 20, 2023	4.68	4.75	4.39	4.41	4.41	5,020,800
Dec 19, 2023	4.54	4.69	4.53	4.69	4.69	5,076,000
Dec 18, 2023	4.68	4.69	4.44	4.49	4.49	6,468,200
Dec 15, 2023	4.99	5.07	4.60	4.61	4.61	15,223,300
Dec 14, 2023	5.15	5.48	5.03	5.17	5.17	6,583,200
Dec 13, 2023	4.60	4.93	4.53	4.93	4.93	4,221,500
Dec 12, 2023	4.63	4.67	4.48	4.60	4.60	3,180,400
Dec 11, 2023	4.79	4.84	4.60	4.66	4.66	3,222,100
Dec 8, 2023	4.76	4.93	4.72	4.80	4.80	3,196,000
Dec 7, 2023	4.51	4.71	4.47	4.70	4.70	3,745,500
Dec 6, 2023	4.48	4.61	4.45	4.46	4.46	2,256,600
Dec 5, 2023	4.54	4.60	4.42	4.45	4.45	3,022,100
Dec 4, 2023	4.46	4.59	4.45	4.58	4.58	2,843,500
Dec 1, 2023	4.40	4.55	4.36	4.46	4.46	4,399,700
Nov 30, 2023	4.41	4.51	4.34	4.38	4.38	3,073,700
Nov 29, 2023	4.50	4.64	4.35	4.39	4.39	4,890,000
Nov 28, 2023	4.30	4.41	4.16	4.40	4.40	3,847,800
Nov 27, 2023	4.37	4.41	4.25	4.27	4.27	2,789,100
Nov 24, 2023	4.28	4.41	4.20	4.38	4.38	1,984,900
Nov 22, 2023	4.22	4.31	4.19	4.26	4.26	2,586,200
Nov 21, 2023	4.32	4.32	4.17	4.21	4.21	2,836,300
Nov 20, 2023	4.29	4.39	4.26	4.31	4.31	4,642,600
Nov 17, 2023	4.26	4.30	4.15	4.21	4.21	3,904,200
Nov 16, 2023	4.37	4.40	4.14	4.22	4.22	4,810,400
Nov 15, 2023	4.38	4.65	4.31	4.40	4.40	8,002,300
Nov 14, 2023	4.50	4.64	4.20	4.32	4.32	24,910,200
Nov 13, 2023	4.38	4.39	4.26	4.33	4.33	2,034,500
Nov 10, 2023	4.32	4.40	4.21	4.37	4.37	2,543,200
Nov 9, 2023	4.54	4.55	4.21	4.28	4.28	4,978,400
Nov 8, 2023	4.52	4.52	4.35	4.36	4.36	2,413,500
Nov 7, 2023	4.33	4.51	4.27	4.50	4.50	2,078,600
Nov 6, 2023	4.63	4.65	4.33	4.35	4.35	2,412,300
Nov 3, 2023	4.71	4.81	4.59	4.61	4.61	3,377,800
Nov 2, 2023	4.33	4.64	4.33	4.59	4.59	3,825,000
Nov 1, 2023	4.21	4.26	4.12	4.24	4.24	1,998,600
Oct 31, 2023	4.19	4.25	4.11	4.23	4.23	1,947,900
Oct 30, 2023	4.20	4.28	4.11	4.20	4.20	2,317,800
Oct 27, 2023	4.31	4.37	4.14	4.16	4.16	2,275,700
Oct 26, 2023	4.21	4.35	4.19	4.28	4.28	3,093,800
Oct 25, 2023	4.09	4.19	4.06	4.09	4.09	2,225,900
Oct 24, 2023	4.19	4.28	4.11	4.14	4.14	1,977,100
Oct 23, 2023	4.08	4.23	4.00	4.11	4.11	3,143,900
Oct 20, 2023	4.20	4.22	4.06	4.09	4.09	3,139,600
Oct 19, 2023	4.29	4.34	4.19	4.21	4.21	2,846,700
Oct 18, 2023	4.38	4.43	4.20	4.25	4.25	2,860,800
Oct 17, 2023	4.36	4.53	4.32	4.48	4.48	2,835,600
Oct 16, 2023	4.28	4.50	4.24	4.46	4.46	3,162,800
Oct 13, 2023	4.46	4.48	4.23	4.29	4.29	3,795,700
Oct 12, 2023	4.87	4.88	4.36	4.42	4.42	4,566,700
Oct 11, 2023	4.95	5.07	4.76	4.83	4.83	3,620,000
Oct 10, 2023	4.66	5.02	4.65	4.86	4.86	4,345,300
Oct 9, 2023	4.41	4.65	4.41	4.62	4.62	3,348,800
Oct 6, 2023	4.39	4.53	4.35	4.50	4.50	3,449,200
Oct 5, 2023	4.32	4.47	4.26	4.45	4.45	2,639,300
Oct 4, 2023	4.23	4.34	4.14	4.31	4.31	2,565,500
Oct 3, 2023	4.35	4.37	4.13	4.17	4.17	3,802,100
Oct 2, 2023	4.40	4.42	4.29	4.39	4.39	2,907,000
Sep 29, 2023	4.40	4.57	4.32	4.38	4.38	3,057,800
Sep 28, 2023	4.31	4.42	4.24	4.34	4.34	3,361,700
Sep 27, 2023	4.20	4.33	4.19	4.30	4.30	4,091,300
Sep 26, 2023	4.34	4.43	4.22	4.24	4.24	3,480,300
Sep 25, 2023	4.47	4.50	4.31	4.35	4.35	4,554,200
Sep 22, 2023	4.54	4.67	4.45	4.48	4.48	3,693,500
Sep 21, 2023	4.34	4.57	4.25	4.48	4.48	5,162,800
Sep 20, 2023	4.62	4.64	4.39	4.42	4.42	6,338,900
Sep 19, 2023	4.26	4.76	4.17	4.66	4.66	17,132,800
Sep 18, 2023	5.10	5.22	5.02	5.04	5.04	3,402,700
Sep 15, 2023	5.25	5.28	5.06	5.12	5.12	13,253,300
Sep 14, 2023	5.36	5.43	5.21	5.26	5.26	4,963,600
Sep 13, 2023	5.47	5.48	5.23	5.36	5.36	5,675,200
Sep 12, 2023	5.81	5.83	5.27	5.30	5.30	12,847,400
Sep 11, 2023	6.26	6.35	6.03	6.04	6.04	3,520,000
Sep 8, 2023	6.30	6.34	6.14	6.20	6.20	2,349,800
Sep 7, 2023	6.29	6.36	6.06	6.32	6.32	2,504,600
Sep 6, 2023	6.51	6.58	6.30	6.41	6.41	2,040,200
Sep 5, 2023	6.31	6.59	6.29	6.53	6.53	2,943,800
Sep 1, 2023	6.38	6.48	6.27	6.34	6.34	2,326,100
Aug 31, 2023	6.37	6.49	6.22	6.31	6.31	3,242,200
Aug 30, 2023	6.16	6.45	6.12	6.38	6.38	2,888,600
Aug 29, 2023	5.87	6.27	5.84	6.17	6.17	2,886,700
Aug 28, 2023	5.88	6.03	5.83	5.93	5.93	2,290,700
Aug 25, 2023	5.70	5.88	5.63	5.79	5.79	2,697,200
Aug 24, 2023	6.03	6.08	5.60	5.65	5.65	2,961,200
Aug 23, 2023	5.83	6.01	5.83	5.93	5.93	2,294,800
Aug 22, 2023	5.93	6.00	5.66	5.83	5.83	2,379,700
Aug 21, 2023	5.94	5.98	5.82	5.88	5.88	2,618,700
Aug 18, 2023	5.43	5.93	5.36	5.86	5.86	4,270,100
Aug 17, 2023	5.90	5.95	5.55	5.56	5.56	4,678,200
Aug 16, 2023	6.03	6.11	5.87	5.88	5.88	3,133,100
Aug 15, 2023	6.26	6.28	6.07	6.09	6.09	2,739,200
Aug 14, 2023	6.24	6.37	6.08	6.31	6.31	2,358,900
Aug 11, 2023	6.15	6.39	6.12	6.32	6.32	2,306,800
Aug 10, 2023	6.51	6.70	6.14	6.23	6.23	4,650,600
Aug 9, 2023	7.36	7.49	6.15	6.45	6.45	7,997,700
Aug 8, 2023	6.42	6.74	6.27	6.66	6.66	4,704,200
Aug 7, 2023	6.87	6.88	6.40	6.59	6.59	4,534,100
Aug 4, 2023	7.05	7.14	6.80	6.83	6.83	3,030,800
Aug 3, 2023	6.89	7.14	6.80	7.03	7.03	2,916,300
Aug 2, 2023	7.08	7.10	6.80	6.98	6.98	3,715,800
Aug 1, 2023	7.26	7.34	7.15	7.26	7.26	2,294,400
Jul 31, 2023	7.11	7.39	7.09	7.37	7.37	4,813,200
Jul 28, 2023	6.85	7.13	6.85	7.10	7.10	4,367,000
Jul 27, 2023	7.29	7.29	6.71	6.73	6.73	6,190,700
Jul 26, 2023	7.50	7.53	6.98	7.14	7.14	7,082,600
Jul 25, 2023	7.52	7.79	7.52	7.62	7.62	5,847,500
Jul 24, 2023	7.47	7.50	7.27	7.39	7.39	4,193,600
Jul 21, 2023	7.87	7.89	7.36	7.50	7.50	6,223,300
Jul 20, 2023	7.86	8.03	7.56	7.81	7.81	6,236,500
Jul 19, 2023	7.88	8.05	7.61	7.93	7.93	10,581,600
Jul 18, 2023	7.06	7.87	7.00	7.83	7.83	13,228,900
Jul 17, 2023	6.33	6.93	6.20	6.89	6.89	4,946,700
Jul 14, 2023	6.73	6.84	6.28	6.32	6.32	5,061,500
Jul 13, 2023	6.12	6.82	6.12	6.64	6.64	8,664,500
Jul 12, 2023	6.35	6.42	5.90	6.07	6.07	5,752,300
Jul 11, 2023	6.01	6.25	5.85	6.18	6.18	7,450,700
Jul 10, 2023	5.70	5.98	5.68	5.97	5.97	3,618,500
Jul 7, 2023	5.62	5.80	5.62	5.73	5.73	2,238,600
Jul 6, 2023	5.76	5.77	5.53	5.60	5.60	2,776,700
Jul 5, 2023	5.98	6.02	5.82	5.86	5.86	3,347,300
